name,province,lat,lng
天津农学院(西校区),天津市,39.167527,116.981518
天津市经济贸易学校,天津市,39.067797,117.200725
天津模范小学(华苑校区),天津市,39.089075,117.136372
天津市第二新华中学,天津市,39.04579,117.261549
张家窝中学,天津市,39.051172,117.05856
南开大学(津南校区),天津市,38.994944,117.352678
天津大学北洋园校区,天津市,39.003936,117.31903
天津职业技术师范大学,天津市,39.064979,117.302938
天津市南开翔宇学校(梅江校区),天津市,39.050519,117.236749
天津市双港中学,天津市,39.057412,117.31561
北闸口中学,天津市,38.960078,117.408278
天津市仪表无线电工业学校,天津市,39.01197,117.377133
天华实验中学,天津市,38.980487,117.375548
天津市咸水沽第一中学,天津市,38.994402,117.378789
天津咸水沽第四小学,天津市,38.997755,117.39243
河北工业大学(北辰校区),天津市,39.244145,117.065022
天津商业大学,天津市,39.187459,117.131361
天津职业大学,天津市,39.236038,117.195466
渤海职业技术学院,天津市,39.269084,117.368979
天津市第四十七中学,天津市,39.242661,117.131102
刘安庄小学,天津市,39.248018,117.201759
青光中学,天津市,39.199905,117.061663
瑞景小学,天津市,39.203404,117.117598
天津广播电视大学(北辰分校),天津市,39.244504,117.130253
南仓中学,天津市,39.209566,117.157085
天津天狮学院(新校区),天津市,39.436947,117.047225
杨村第一中学,天津市,39.41165,117.009541
天和城实验中学,天津市,39.361108,117.128289
杨村第三中学,天津市,39.380633,117.057152
雍阳中学,天津市,39.378816,117.065147
武清城关中学,天津市,39.521797,116.882212
曹子里中学,天津市,39.422285,117.13563
杨村第八中学,天津市,39.364949,117.068502
梅厂中学,天津市,39.372453,117.194593
杨村第十小学,天津市,39.376652,117.048736
宝坻一中,天津市,39.740388,117.336467
宝坻区第九中学,天津市,39.701692,117.289862
宝坻四中,天津市,39.736738,117.283829
宝坻三中,天津市,39.723649,117.306295
宝坻二中,天津市,39.736307,117.32326
北京科技大学天津学院,天津市,39.551464,117.402446
宝坻六中,天津市,39.701581,117.307799
宝坻五中,天津市,39.730837,117.292417
天津财经大学珠江学院,天津市,39.557157,117.412575
大口屯高级中学,天津市,39.592821,117.249765
天津科技大学,天津市,39.093244,117.715812
天津大港一中,天津市,38.854834,117.49523
天津外国语大学(滨海校区),天津市,38.868353,117.47379
天津泰达枫叶国际学校,天津市,39.033183,117.726901
天津市南开中学滨海生态城学校,天津市,39.13772,117.779182
紫云中学,天津市,39.016997,117.698061
天津市塘沽第一中学,天津市,39.024511,117.668706
天津工程职业技术学院(南校区),天津市,38.729391,117.505054
天津实验中学滨海学校,天津市,39.128942,117.641176
浙江路小学,天津市,39.024943,117.655712
芦台第五中学,天津市,39.325361,117.829435
宁河区丰台中学,天津市,39.569081,117.777482
芦台第二中学,天津市,39.334496,117.826775
宁河任凤高中,天津市,39.316411,117.684042
北淮淀中学,天津市,39.269013,117.584671
大王台中心小学,天津市,39.279703,117.501416
宁河区芦台镇第一小学,天津市,39.333469,117.830764
大北中学,天津市,39.352508,117.748009
俵口小学,天津市,39.327604,117.567688
宁河区芦台第四中学,天津市,39.331338,117.832606
天津中医药大学(新校区),天津市,38.958945,117.077635
天津体育学院(新校区),天津市,38.958815,117.066181
静海第一中学,天津市,38.947641,116.976303
北京师范大学静海附属学校,天津市,38.971068,117.087933
子牙新城第一小学,天津市,38.864328,116.838474
天津市静海区第二中学,天津市,38.95017,116.93042
天津大学仁爱学院,天津市,38.891238,117.163406
天津体育职业学院,天津市,38.971538,117.085457
静海区第四中学,天津市,38.923162,116.929388
静海区三中,天津市,38.940585,116.944433
河北师范大学汇华学院,河北省,38.012563,114.470428
河北交通职业技术学院(西院区),河北省,38.019602,114.457268
石家庄二中润德学校,河北省,37.987511,114.497617
河北中医学院(橘泉校区),河北省,38.013507,114.460849
河北师大附属民族学院,河北省,38.017497,114.464764
石家庄六中,河北省,38.042639,114.480973
河北地质职工大学,河北省,38.046596,114.410998
石家庄市草场街小学,河北省,38.038537,114.472721
河北司法警官职业学院(石家庄校区),河北省,38.038457,114.452786
石家庄四十一中学,河北省,38.036726,114.453335
河北经贸大学,河北省,38.141249,114.499536
河北政法职业学院(新校区),河北省,38.144517,114.469116
河北地质大学(北校区),河北省,38.096207,114.440872
石家庄铁路职业技术学院(北校区),河北省,38.136204,114.507974
石家庄二中,河北省,38.058789,114.485411
石家庄精英中学(北校区),河北省,38.158518,114.464039
河北政法职业学院北院,河北省,38.150052,114.478896
石家庄市第四十二中学,河北省,38.088531,114.471861
河北传媒学院(河北传媒学院心理健康中心西北),河北省,38.102456,114.435674
石家庄市第三十八中学,河北省,38.079856,114.482008
蓟州区四中,天津市,40.053373,117.452517
蓟州区一中,天津市,40.053973,117.415108
蓟州区下仓中学,天津市,39.819604,117.440077
蓟州区杨家楼中学,天津市,39.972717,117.487485
蓟州区马伸桥中学,天津市,40.112096,117.604432
蓟州区擂鼓台中学,天津市,40.085876,117.714299
天津市晟楷中学,天津市,39.980066,117.423669
蓟州区第二中学,天津市,40.040766,117.378975
蓟州区邦均中学,天津市,39.994054,117.256372
蓟州区下营中学,天津市,40.195041,117.445098
石家庄市矿区中学,河北省,38.071853,114.075765
南寨小学,河北省,38.095253,114.072782
石家庄市井陉矿区贾庄中学,河北省,38.100587,114.052451
横北小学,河北省,38.06907,114.07202
横西学校,河北省,38.071914,114.059341
凤山中心小学,河北省,38.05097,114.058569
矿区第一小学,河北省,38.073227,114.069639
矿区职教中心,河北省,38.066172,114.078119
石家庄市井陉矿区电大工作站,河北省,38.065897,114.077798
井陉矿区第三小学,河北省,38.042775,114.03741
河北科技大学(新校区),河北省,37.984026,114.528652
河北师范大学(新校区),河北省,38.003617,114.526421
河北地质大学,河北省,38.025828,114.556091
石家庄学院,河北省,38.025509,114.60673
精英中学,河北省,38.022131,114.602814
河北交通职业技术学院,河北省,38.032887,114.649481
河北科技大学理工学院,河北省,38.039715,114.52206
